epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.8269,1.30315,4.74762,1.17708,0.003,0.9,0.00438,0.00311,1.06507,4.16075,0.90572,0.00018,0.00018,0.00018
2,34.0156,1.21323,3.92755,0.93599,0.00333,1,0.00829,0.0056,0.95379,4.13423,0.89407,0.000372476,0.000372476,0.000372476
3,49.2094,1.06536,3.4281,0.98242,0.00333,1,0.00821,0.00564,1.04913,4.24664,0.94635,0.000557032,0.000557032,0.000557032
4,63.3509,1.18393,2.51556,1.00957,0.00333,1,0.00756,0.00545,0.92159,4.26254,0.93846,0.000733668,0.000733668,0.000733668
5,77.4993,1.15563,2.79463,1.03901,0.00333,1,0.62373,0.46141,0.9888,4.0204,0.93619,0.000902384,0.000902384,0.000902384
6,90.4572,1.16992,2.03152,0.99472,0.00333,1,0.08342,0.06292,0.85642,4.1088,0.90737,0.00106318,0.00106318,0.00106318
7,104.962,0.95285,1.97877,0.91604,0.00333,1,0.08342,0.06292,0.85642,4.1088,0.90737,0.00121606,0.00121606,0.00121606
8,118.551,1.07833,2.0818,0.9699,0.84615,0.55385,0.76711,0.47928,0.98804,3.62579,0.97947,0.00136101,0.00136101,0.00136101
9,132.278,1.05063,1.76283,0.94016,0.38617,0.6,0.61797,0.3799,0.87997,3.19745,1.01108,0.00149805,0.00149805,0.00149805
10,147.898,0.94754,1.78978,0.94432,0.38617,0.6,0.61797,0.3799,0.87997,3.19745,1.01108,0.00162716,0.00162716,0.00162716
11,162.876,0.96753,2.18471,0.98356,0.81584,0.44751,0.70955,0.52696,0.94466,3.08877,1.07785,0.001604,0.001604,0.001604
12,178.999,0.99484,1.92751,1.00428,0.98586,0.9,0.98591,0.65045,1.12235,2.78011,1.22109,0.0015644,0.0015644,0.0015644
13,195.946,1.04487,2.08059,1.04205,0.98586,0.9,0.98591,0.65045,1.12235,2.78011,1.22109,0.0015248,0.0015248,0.0015248
14,212.283,0.92603,1.61678,0.95866,0.98671,1,0.995,0.72226,0.94956,2.44926,1.1653,0.0014852,0.0014852,0.0014852
15,232.386,0.89196,1.73615,0.94643,0.99442,1,0.995,0.71673,0.98047,2.062,1.1601,0.0014456,0.0014456,0.0014456
16,250.534,0.95554,1.72975,0.97004,0.99442,1,0.995,0.71673,0.98047,2.062,1.1601,0.001406,0.001406,0.001406
17,272.589,0.86628,1.49674,0.93884,0.9966,1,0.995,0.74994,0.91982,2.1182,1.09194,0.0013664,0.0013664,0.0013664
18,289.732,0.93586,1.65715,0.99446,0.9966,1,0.995,0.74994,0.91982,2.1182,1.09194,0.0013268,0.0013268,0.0013268
19,306.163,0.85521,1.58397,0.97012,0.99397,1,0.995,0.80626,0.94975,2.21661,1.10137,0.0012872,0.0012872,0.0012872
20,321.673,0.89839,1.86516,0.9793,0.99461,1,0.995,0.76084,0.92072,1.84328,1.09631,0.0012476,0.0012476,0.0012476
21,338.345,0.86051,1.57817,0.96609,0.99461,1,0.995,0.76084,0.92072,1.84328,1.09631,0.001208,0.001208,0.001208
22,354.412,0.88899,1.39054,0.97577,0.99474,1,0.995,0.7742,0.85463,1.81263,1.05688,0.0011684,0.0011684,0.0011684
23,370.193,0.80144,1.40339,0.89306,0.99448,1,0.995,0.81995,0.82564,1.63383,1.03687,0.0011288,0.0011288,0.0011288
24,386.521,0.79863,1.23418,0.93321,0.99448,1,0.995,0.81995,0.82564,1.63383,1.03687,0.0010892,0.0010892,0.0010892
25,401.353,0.71161,3.66574,0.86133,0.99428,1,0.995,0.79614,0.86389,1.53109,1.04527,0.0010496,0.0010496,0.0010496
26,416.509,0.79669,1.46844,0.94351,0.99428,1,0.995,0.79614,0.86389,1.53109,1.04527,0.00101,0.00101,0.00101
27,431.895,0.73602,1.76717,0.94185,0.99463,1,0.995,0.77961,0.8898,1.66117,1.05194,0.0009704,0.0009704,0.0009704
28,447.051,0.84784,1.38658,0.93871,0.99535,1,0.995,0.7724,0.87942,1.67199,1.03932,0.0009308,0.0009308,0.0009308
29,461.292,0.74754,1.31001,0.87767,0.99535,1,0.995,0.7724,0.87942,1.67199,1.03932,0.0008912,0.0008912,0.0008912
30,475.322,0.74607,1.29959,0.92659,0.99535,1,0.995,0.77828,0.84245,1.41135,1.02591,0.0008516,0.0008516,0.0008516
31,489.809,0.74154,1.22969,0.881,0.99518,1,0.995,0.81433,0.79862,1.35159,1.01641,0.000812,0.000812,0.000812
32,506.035,0.83679,1.42588,0.95975,0.99518,1,0.995,0.81433,0.79862,1.35159,1.01641,0.0007724,0.0007724,0.0007724
33,521.009,0.79004,1.26986,0.93075,0.99513,1,0.995,0.8004,0.80447,1.35622,1.02307,0.0007328,0.0007328,0.0007328
